Time,Open,High,Low,Close,Volume,Trades
10/8/2019 12:00,0.00033464,0.00033464,0.00033463,0.00033463,325,2
10/8/2019 14:00,0.0003345,0.00033478,0.00033003,0.00033266,15922,32
10/8/2019 15:00,0.00033442,0.00033442,0.00033442,0.00033442,654,2
10/8/2019 16:00,0.0003302,0.00033023,0.0003302,0.00033023,76,2
10/8/2019 17:00,0.00029107,0.00030053,0.00029107,0.00030051,586,6
10/8/2019 18:00,0.00032648,0.0003388,0.00032645,0.00033847,10679,40
10/8/2019 19:00,0.00033847,0.0003391,0.00033793,0.00033871,14396,302
10/8/2019 20:00,0.00033824,0.00033897,0.00032585,0.0003328,22627,197
10/8/2019 21:00,0.00033677,0.00033955,0.00032625,0.00033873,13129,315
10/8/2019 22:00,0.00033806,0.00033889,0.00032659,0.00033529,8411,219
10/8/2019 23:00,0.00033363,0.00033363,0.00033363,0.00033363,1,1
10/9/2019 0:00,0.00033164,0.00033407,0.00033164,0.00033406,423,6
10/9/2019 3:00,0.00033312,0.00033732,0.00033312,0.00033732,262,8
10/9/2019 4:00,0.00033001,0.00033001,0.00033001,0.00033001,2,2
10/9/2019 5:00,0.00034,0.00034,0.00033829,0.00033829,670,4
10/9/2019 6:00,0.00033035,0.00033888,0.00033035,0.00033877,6540,26
10/9/2019 7:00,0.00033799,0.00033847,0.00033751,0.0003382,1390,43
10/9/2019 8:00,0.00033801,0.00033888,0.00032635,0.00033734,1582,78
10/9/2019 9:00,0.00033572,0.00034084,0.0003303,0.0003303,4222,42
10/9/2019 10:00,0.00033751,0.00033829,0.00033751,0.00033805,57,5
10/9/2019 11:00,0.00033398,0.00033807,0.00033397,0.00033807,2101,7
10/9/2019 12:00,0.00033885,0.00033916,0.00033814,0.00033896,4299,32
10/9/2019 17:00,0.00033203,0.0003407,0.00033203,0.00033755,5471,38
10/9/2019 20:00,0.00033817,0.00033857,0.00033815,0.00033815,314,9
10/9/2019 21:00,0.00033657,0.00033671,0.00033596,0.00033596,343,6
10/9/2019 22:00,0.00033619,0.00033619,0.00033453,0.00033467,365,6
10/10/2019 1:00,0.00033822,0.00033826,0.00033816,0.00033826,3327,11
10/10/2019 2:00,0.00034066,0.0003413,0.00033554,0.0003383,2556,15
10/10/2019 5:00,0.00034419,0.00034439,0.00034419,0.0003442,370,7
10/10/2019 6:00,0.00034428,0.00034465,0.00034162,0.00034163,3019,7
10/10/2019 8:00,0.00034778,0.00034779,0.00034777,0.00034779,253,5
10/10/2019 9:00,0.0003391,0.0003391,0.00033821,0.00033831,1491,9
10/10/2019 11:00,0.00033889,0.0003389,0.00033889,0.00033889,3484,11
10/10/2019 13:00,0.00033979,0.00033979,0.00033979,0.00033979,103,3
10/10/2019 14:00,0.00034384,0.00034384,0.00033721,0.00033721,692,8
10/10/2019 15:00,0.00033775,0.00033775,0.00033775,0.00033775,277,2
10/10/2019 16:00,0.00033808,0.00033808,0.00033808,0.00033808,63,1
10/10/2019 17:00,0.00034423,0.00034423,0.00034388,0.00034423,316,7
10/10/2019 18:00,0.00034416,0.0003442,0.00034416,0.0003442,214,2
10/10/2019 20:00,0.00034419,0.00034422,0.00034201,0.00034419,847,17
10/10/2019 22:00,0.00034414,0.00034422,0.00034414,0.00034414,347,4
10/10/2019 23:00,0.00034422,0.00034761,0.00034042,0.00034042,635,17
10/11/2019 1:00,0.00034064,0.00034064,0.00034064,0.00034064,394,5
10/11/2019 2:00,0.00034743,0.00034743,0.00034717,0.00034725,202,5
10/11/2019 4:00,0.00034494,0.00034596,0.00034494,0.00034596,402,3
10/11/2019 5:00,0.00034617,0.00035626,0.0003461,0.00035622,1550,13
10/11/2019 6:00,0.00034999,0.00035154,0.00034639,0.00035073,2796,21
10/11/2019 7:00,0.00035135,0.00035135,0.00034454,0.00034454,1795,14
10/11/2019 8:00,0.00034932,0.0003497,0.00034918,0.00034918,376,4
10/11/2019 13:00,0.00034313,0.0003473,0.00034313,0.00034485,395,4
10/11/2019 15:00,0.00034615,0.00034619,0.00034532,0.00034619,575,4
10/11/2019 16:00,0.00035086,0.00035086,0.00034565,0.00034565,1095,7
10/11/2019 17:00,0.00035072,0.00035135,0.00035072,0.00035073,1175,6
10/11/2019 19:00,0.00035509,0.00035509,0.00035015,0.00035016,901,6
10/11/2019 20:00,0.00034945,0.00035097,0.00034942,0.00035096,2223,15
10/11/2019 21:00,0.00035538,0.00035538,0.00035538,0.00035538,153,1
10/11/2019 22:00,0.00035835,0.0003584,0.00035801,0.0003584,1896,8
10/12/2019 0:00,0.00035931,0.00035931,0.00035931,0.00035931,118,1
10/12/2019 1:00,0.00035274,0.00035618,0.00034681,0.00035401,1234,10
10/12/2019 3:00,0.00035713,0.00035713,0.00035712,0.00035712,255,2
10/12/2019 4:00,0.00035698,0.00036072,0.00035695,0.00035695,217,4
10/12/2019 6:00,0.00035192,0.00036097,0.00035191,0.00036013,317,8
10/12/2019 7:00,0.00035368,0.00035432,0.0003525,0.0003525,5320,42
10/12/2019 9:00,0.00035745,0.00035745,0.00035745,0.00035745,41,2
10/12/2019 10:00,0.0003569,0.00035693,0.0003501,0.0003501,120,3
10/12/2019 11:00,0.000351,0.00035768,0.000351,0.00035767,360,8
10/12/2019 12:00,0.00035152,0.00035252,0.00035152,0.00035196,5691,10
10/12/2019 13:00,0.00035237,0.00035237,0.00035237,0.00035237,11,2
10/12/2019 14:00,0.00035238,0.00035885,0.00035238,0.00035881,154,3
10/12/2019 17:00,0.00035659,0.00035659,0.00035643,0.00035643,328,4
10/12/2019 18:00,0.00035329,0.00035646,0.00035329,0.00035627,605,11
10/12/2019 21:00,0.00036018,0.00036018,0.00036018,0.00036018,61,1
10/13/2019 0:00,0.00035504,0.00035536,0.00035456,0.00035456,2000,5
10/13/2019 1:00,0.00036418,0.00036418,0.00036418,0.00036418,31,1
10/13/2019 4:00,0.00036762,0.00036762,0.00036762,0.00036762,59,1
10/13/2019 6:00,0.00036243,0.00036245,0.00036243,0.00036245,787,9
10/13/2019 10:00,0.00036592,0.00036592,0.00036564,0.00036569,415,6
10/13/2019 11:00,0.00036203,0.00037193,0.00035932,0.00036494,6624,28
10/13/2019 13:00,0.00035942,0.00035978,0.00035494,0.00035978,1423,7
10/13/2019 14:00,0.00034174,0.00034539,0.00033952,0.00034539,6505,18
10/13/2019 17:00,0.00034817,0.00034817,0.00034817,0.00034817,343,5
10/13/2019 20:00,0.00034951,0.00035303,0.00033997,0.00034025,6366,27
10/13/2019 21:00,0.00034078,0.00034078,0.0003397,0.00034016,5475,14
10/14/2019 1:00,0.00034054,0.00034054,0.00034023,0.00034026,863,5
10/14/2019 2:00,0.00034048,0.00034048,0.00033946,0.00033946,5382,14
10/14/2019 3:00,0.00034211,0.00034495,0.0003419,0.00034495,976,10
10/14/2019 6:00,0.00034459,0.00034873,0.00033744,0.00033804,3629,32
10/14/2019 7:00,0.00033621,0.00033752,0.00033621,0.00033751,7070,4
10/14/2019 10:00,0.00033716,0.00033716,0.00033716,0.00033716,312,1
10/14/2019 12:00,0.00033171,0.00033515,0.00033007,0.0003301,17737,20
10/14/2019 15:00,0.00033633,0.00033633,0.00033625,0.00033625,323,2
10/15/2019 0:00,0.00033943,0.00033943,0.00032963,0.00033897,505,7
10/15/2019 3:00,0.00033896,0.00033896,0.0003385,0.00033895,495,5
10/15/2019 5:00,0.00033942,0.00033943,0.00033942,0.00033943,186,3
10/15/2019 6:00,0.00033894,0.00033901,0.00033851,0.00033898,528,6
10/15/2019 7:00,0.00033942,0.00033942,0.00033244,0.00033248,5811,12
10/15/2019 8:00,0.00033344,0.00033344,0.00032966,0.00033236,738,7
10/15/2019 10:00,0.00032747,0.00033501,0.00032077,0.0003215,10594,32
10/15/2019 11:00,0.00032743,0.00032983,0.00032743,0.00032983,3192,4
10/15/2019 13:00,0.00032477,0.00032501,0.00032477,0.00032501,2379,8
10/15/2019 14:00,0.00033312,0.00033312,0.00033312,0.00033312,247,1
10/15/2019 16:00,0.00032812,0.0003285,0.00032183,0.00032183,1357,5
10/15/2019 17:00,0.00032913,0.00032913,0.00032281,0.00032321,6522,20
10/15/2019 20:00,0.00032756,0.00032756,0.00032602,0.00032602,567,7
10/15/2019 23:00,0.00032707,0.00032707,0.00032706,0.00032707,585,12
10/16/2019 2:00,0.00032707,0.00032707,0.00032707,0.00032707,67,1
10/16/2019 4:00,0.0003336,0.0003336,0.00033359,0.0003336,571,5
10/16/2019 5:00,0.00033364,0.00033364,0.00033364,0.00033364,49,1
10/16/2019 6:00,0.00033354,0.00033354,0.00033354,0.00033354,248,1
10/16/2019 7:00,0.00033582,0.00033582,0.00033527,0.00033574,4672,23
10/16/2019 8:00,0.00032831,0.00032831,0.00032714,0.00032787,8244,17
10/16/2019 9:00,0.00032841,0.00032841,0.00032822,0.00032825,791,9
10/16/2019 11:00,0.0003256,0.00032707,0.00030518,0.00032053,442264,665
10/16/2019 13:00,0.00032159,0.0003239,0.00031946,0.00032313,8889,20
10/16/2019 14:00,0.00032765,0.00032765,0.00032681,0.0003274,560,7
10/16/2019 17:00,0.00032814,0.00032913,0.00032797,0.00032913,514,7
10/16/2019 18:00,0.00032059,0.00032059,0.00032059,0.00032059,355,1
10/16/2019 20:00,0.00032713,0.00032713,0.00032511,0.00032696,573,8
10/16/2019 23:00,0.00032296,0.00032296,0.00032296,0.00032296,10,1
10/17/2019 0:00,0.00032712,0.00032712,0.00032294,0.00032294,601,10
10/17/2019 1:00,0.00032296,0.00032296,0.00032296,0.00032296,6,1
10/17/2019 2:00,0.00032296,0.00032426,0.00032264,0.00032264,319,15
10/17/2019 3:00,0.00032443,0.00032575,0.00032443,0.00032575,3,2
10/17/2019 4:00,0.00032295,0.00032295,0.00032071,0.00032071,1391,4
10/17/2019 5:00,0.00032385,0.00032386,0.00032384,0.00032384,615,6
10/17/2019 6:00,0.00032398,0.00032756,0.00032279,0.00032578,506,10
10/17/2019 8:00,0.00032336,0.00032336,0.00032297,0.00032297,398,5
10/17/2019 9:00,0.00032056,0.00032431,0.00031968,0.00031999,2999,17
10/17/2019 10:00,0.00032365,0.00032365,0.00032365,0.00032365,96,1
10/17/2019 11:00,0.00031898,0.00032497,0.00031898,0.00032496,14824,28
10/17/2019 12:00,0.00032207,0.00032291,0.00032133,0.00032291,5368,9
10/17/2019 13:00,0.00032189,0.00032189,0.00032189,0.00032189,1016,1
10/17/2019 14:00,0.00032461,0.00032691,0.00032341,0.00032611,23563,29
10/17/2019 15:00,0.00032641,0.0003271,0.00032436,0.00032678,61343,49
10/17/2019 16:00,0.00032464,0.00033038,0.00032253,0.00032533,13143,25
10/17/2019 17:00,0.00032532,0.00032532,0.00032479,0.00032479,2812,2
10/17/2019 18:00,0.00032285,0.0003257,0.00032285,0.0003255,5802,12
10/17/2019 20:00,0.00032486,0.00032486,0.00032486,0.00032486,190,2
10/17/2019 21:00,0.00032492,0.00032492,0.00032492,0.00032492,103,1
10/17/2019 22:00,0.00032632,0.00033269,0.00032612,0.00032626,13223,19
10/18/2019 3:00,0.00032941,0.00032941,0.00032941,0.00032941,2157,1
10/18/2019 4:00,0.00032701,0.0003274,0.00032358,0.00032715,9776,24
10/18/2019 5:00,0.00032278,0.000328,0.00032278,0.00032314,3,3
10/18/2019 6:00,0.000328,0.000328,0.00032507,0.00032507,5952,5
10/18/2019 7:00,0.00031904,0.00032865,0.00031904,0.00032828,2685,9
10/18/2019 8:00,0.00032442,0.00032442,0.00032442,0.00032442,168,2
10/18/2019 9:00,0.00032375,0.00032539,0.00032237,0.00032539,9231,14
10/18/2019 11:00,0.0003249,0.00032538,0.00032229,0.0003245,20407,36
10/18/2019 12:00,0.00032251,0.00032441,0.00032251,0.00032394,13950,12
10/18/2019 13:00,0.00031898,0.00032241,0.00031898,0.00032241,606,7
10/18/2019 14:00,0.00032539,0.00032539,0.0003252,0.00032525,309,4
10/18/2019 15:00,0.00031924,0.00032436,0.00031924,0.00032436,9184,9
10/18/2019 16:00,0.00032033,0.00032694,0.00032033,0.00032345,20988,22
10/18/2019 17:00,0.00032445,0.00032508,0.00032253,0.00032401,3119,7
10/18/2019 18:00,0.00032359,0.00032564,0.0003226,0.00032488,25345,27
10/18/2019 19:00,0.00032549,0.00032622,0.00032221,0.00032562,7582,16
10/19/2019 1:00,0.00032195,0.00032195,0.00032195,0.00032195,124,1
10/19/2019 4:00,0.00032382,0.00032382,0.00032382,0.00032382,48,1
10/19/2019 5:00,0.00032722,0.00032722,0.00032676,0.00032676,934,3
10/19/2019 7:00,0.00032591,0.00032626,0.00031965,0.00032011,21847,45
10/19/2019 8:00,0.00032029,0.00032124,0.00032028,0.00032028,5961,11
10/19/2019 9:00,0.0003223,0.00032848,0.0003223,0.00032655,3616,12
10/19/2019 10:00,0.000329,0.000329,0.00031501,0.00031921,1831,9
10/19/2019 11:00,0.0003273,0.00032974,0.00032701,0.00032926,6085,15
10/19/2019 12:00,0.0003263,0.00032685,0.000326,0.00032681,6223,11
10/19/2019 13:00,0.00032908,0.00032908,0.00032908,0.00032908,1201,1
10/19/2019 15:00,0.00032784,0.00032784,0.00032435,0.00032435,57,3
10/19/2019 16:00,0.00032447,0.0003272,0.00032426,0.0003272,9329,15
10/19/2019 17:00,0.00032756,0.00032757,0.00032756,0.00032757,436,6
10/19/2019 19:00,0.00032757,0.00032757,0.00032757,0.00032757,9,1
10/20/2019 1:00,0.0003326,0.0003326,0.0003325,0.0003325,345,3
10/20/2019 2:00,0.00032865,0.000329,0.00032804,0.00032834,7282,7
10/20/2019 4:00,0.00033311,0.00033311,0.00032718,0.00032718,322,2
10/20/2019 7:00,0.0003305,0.00033122,0.00032686,0.00032686,7949,10
10/20/2019 8:00,0.00033364,0.00033364,0.00032807,0.00032807,1149,6
10/20/2019 9:00,0.00032923,0.00032974,0.00032907,0.00032925,5803,11
10/20/2019 11:00,0.00032768,0.00033069,0.00032299,0.00032743,20951,79
10/20/2019 12:00,0.0003236,0.00033067,0.0003236,0.00033067,62,2
10/20/2019 13:00,0.00032974,0.00033061,0.0003227,0.0003227,30445,63
10/20/2019 14:00,0.0003237,0.00032864,0.0003237,0.0003283,742,11
10/20/2019 17:00,0.0003235,0.0003276,0.0003235,0.00032759,1315,9
10/20/2019 18:00,0.00032732,0.0003279,0.00032328,0.00032773,9738,19
10/20/2019 19:00,0.00033385,0.00033385,0.00032547,0.00032586,7236,8
10/20/2019 20:00,0.0003249,0.00032811,0.0003249,0.00032811,569,12
10/20/2019 21:00,0.00032742,0.00032742,0.00032742,0.00032742,1543,2
10/20/2019 22:00,0.000331,0.000331,0.00032754,0.000328,5175,9
10/21/2019 1:00,0.00032976,0.00032976,0.00032976,0.00032976,43,1
10/21/2019 2:00,0.00033297,0.00033297,0.00033297,0.00033297,214,4
10/21/2019 3:00,0.00032751,0.00032751,0.00032725,0.00032742,3111,10
10/21/2019 4:00,0.00033013,0.00033013,0.00033013,0.00033013,60,1
10/21/2019 5:00,0.00033188,0.00033191,0.00033188,0.00033191,358,12
10/21/2019 6:00,0.00033177,0.00033191,0.00033177,0.00033191,351,6
10/21/2019 7:00,0.00033191,0.00033191,0.00033051,0.00033051,1137,5
10/21/2019 9:00,0.00032925,0.00033061,0.00032925,0.00033061,1019,7
10/21/2019 10:00,0.00033058,0.00033058,0.00033058,0.00033058,181,1
10/21/2019 12:00,0.00032653,0.00032908,0.00032632,0.0003289,1344,14
10/21/2019 14:00,0.0003238,0.0003238,0.00032348,0.00032348,252,3
10/21/2019 18:00,0.00032435,0.00032633,0.00032415,0.00032621,650,10
10/21/2019 19:00,0.00032669,0.00032669,0.00032313,0.00032313,201,3
10/21/2019 21:00,0.00032281,0.00032281,0.00032281,0.00032281,3099,3
10/21/2019 22:00,0.00032835,0.00032835,0.00032835,0.00032835,94,2
10/21/2019 23:00,0.00032223,0.00032845,0.00032223,0.00032845,385,2
10/22/2019 0:00,0.00032823,0.00032827,0.00032823,0.00032823,210,3
10/22/2019 6:00,0.00033455,0.00033455,0.00033455,0.00033455,283,1
10/22/2019 11:00,0.00032896,0.00032896,0.00032896,0.00032896,632,2
10/22/2019 14:00,0.00032882,0.00032882,0.00032839,0.00032839,458,5
10/22/2019 17:00,0.00032945,0.00032945,0.00032922,0.00032939,209,4
10/22/2019 20:00,0.00032616,0.00032699,0.00032616,0.00032699,369,6
10/22/2019 21:00,0.00032223,0.0003226,0.00032223,0.00032223,677,6
10/22/2019 22:00,0.00032971,0.00032971,0.00032943,0.00032948,565,6
10/23/2019 0:00,0.00031954,0.00031954,0.00031954,0.00031954,1,1
10/23/2019 1:00,0.00031905,0.0003192,0.00031527,0.00031527,621,10
10/23/2019 2:00,0.00031487,0.00031487,0.00031487,0.00031487,270,6
10/23/2019 3:00,0.00031498,0.00031498,0.00031475,0.00031475,774,5
10/23/2019 4:00,0.00030834,0.00032039,0.00030818,0.00031993,6946,32
10/23/2019 6:00,0.00031002,0.00031002,0.00030961,0.0003099,499,5
10/23/2019 7:00,0.00031092,0.00031822,0.00031091,0.00031573,1308,13
10/23/2019 9:00,0.00031013,0.00031013,0.00031011,0.00031011,8,2
10/23/2019 10:00,0.00031175,0.00031369,0.00031175,0.00031369,514,6
10/23/2019 11:00,0.00030994,0.00031526,0.00030963,0.00031526,1383,6
10/23/2019 13:00,0.00030959,0.00030959,0.00030781,0.00030782,1350,8
10/23/2019 14:00,0.00031365,0.00031365,0.00031314,0.00031314,580,5
10/23/2019 17:00,0.00031108,0.00031276,0.00031014,0.00031079,3643,8
10/23/2019 18:00,0.00031485,0.00031485,0.00031265,0.00031265,8635,2
10/23/2019 20:00,0.00031383,0.00031423,0.00031121,0.00031121,1801,9
10/23/2019 22:00,0.00030788,0.00030788,0.00030788,0.00030788,756,7
10/23/2019 23:00,0.00031612,0.0003164,0.00031124,0.00031598,602,5
10/24/2019 5:00,0.00030805,0.00030805,0.00030805,0.00030805,76,1
10/24/2019 6:00,0.00030825,0.00031106,0.00030794,0.00030818,4555,13
10/24/2019 13:00,0.00030816,0.00030818,0.00030816,0.00030818,22963,7
10/24/2019 14:00,0.00030883,0.00031734,0.00030789,0.00030789,11237,17
10/24/2019 15:00,0.00030788,0.00031346,0.00030735,0.00030883,19746,22
10/24/2019 16:00,0.00030942,0.00031009,0.00030942,0.00030975,622,8
10/24/2019 19:00,0.00031054,0.00031075,0.0003102,0.00031075,689,5
10/29/2019 14:00,0.00028482,0.00028607,0.00027124,0.00027141,82956,63
10/29/2019 15:00,0.00028079,0.0002815,0.00027442,0.00027442,4580,14
10/29/2019 16:00,0.00028076,0.00028076,0.00027832,0.00027832,2384,3
10/29/2019 17:00,0.00027948,0.00027948,0.00027652,0.00027669,4640,10
10/29/2019 20:00,0.00027765,0.00027765,0.00027765,0.00027765,687,5
10/29/2019 21:00,0.00027765,0.00027765,0.00027765,0.00027765,1308,5
10/30/2019 2:00,0.00027765,0.00027765,0.00027765,0.00027765,1000,2
10/30/2019 3:00,0.00028162,0.00028162,0.0002801,0.00028161,3186,4
10/30/2019 7:00,0.00027524,0.00027765,0.00027524,0.00027765,8588,2
10/30/2019 9:00,0.00027213,0.00027615,0.00027139,0.00027139,11057,5
10/30/2019 10:00,0.00027202,0.00027202,0.00026589,0.00026637,8766,16
